AAEXERCICIO,CD_MENSAL,NR_EMPENHO,NR_REALIZADA,NR_ACUMULADO,CD_PAI,NR_NIVEL
"DESPESA",2008,1,0.00,2485752329.95,2485752329.95,,1
"DESPESA",2008,2,0.00,2231007911.69,4716760241.64,,1
"DESPESA",2008,3,0.00,2877293834.31,7594054075.95,,1
"DESPESA",2008,4,0.00,2878852847.25,10472906923.20,,1
"DESPESA",2008,5,0.00,2812352196.94,13285259120.14,,1
"DESPESA",2008,6,0.00,3145201909.12,16430461029.26,,1
"DESPESA",2008,7,0.00,3111994384.29,19542455413.55,,1
"DESPESA",2008,8,0.00,2848860701.94,22391316115.49,,1
"DESPESA",2008,9,0.00,3322159646.90,25713475762.39,,1
"DESPESA",2008,10,0.00,3070400468.34,28783876230.73,,1
"DESPESA",2008,11,0.00,3950507161.23,32734383391.96,,1
"DESPESA",2008,12,5547526280.34,6564979458.32,39299362850.28,,1
"DESPESA",2009,1,2857510952.32,2629344056.61,2629344056.61,,1
"DESPESA",2009,2,2703141836.45,2326985961.44,4956330018.05,,1
"DESPESA",2009,3,3575047712.87,3268678403.05,8225008421.10,,1
"DESPESA",2009,4,3324163157.29,3169842843.79,11394851264.89,,1
"DESPESA",2009,5,2832303531.58,2853393646.19,14248244911.08,,1
"DESPESA",2009,6,3290124011.73,3323971406.54,17572216317.62,,1
"DESPESA",2009,7,3108352915.21,3195903468.36,20768119785.98,,1
"DESPESA",2009,8,2695440539.94,2894566891.56,23662686677.54,,1
"DESPESA",2009,9,3335470124.25,3358633103.90,27021319781.44,,1
"DESPESA",2009,10,3021429003.40,3019382960.40,30040702741.84,,1
"DESPESA",2009,11,4215513114.06,4065957345.38,34106660087.22,,1
"DESPESA",2009,12,5304964015.96,6156800827.84,40263460915.06,,1
"DESPESA",2010,1,2926127968.31,2699224626.47,2699224626.47,,1
"DESPESA",2010,2,3148497852.42,2902358736.26,5601583362.73,,1
"DESPESA",2010,3,3817386259.07,3527308317.71,9128891680.44,,1
"DESPESA",2010,4,3365208343.44,3328783892.18,12457675572.62,,1
"DESPESA",2010,5,3725529217.36,3518224679.62,15975900252.24,,1
"DESPESA",2010,6,4214889255.39,4219627917.16,20195528169.40,,1
"DESPESA",2010,7,3825501052.23,3737928180.42,23933456349.82,,1
"DESPESA",2010,8,3958870330.43,4005190073.70,27938646423.52,,1
"DESPESA",2010,9,3481099729.72,3465267934.84,31403914358.36,,1
"DESPESA",2010,10,3175141097.97,3359037997.14,34762952355.50,,1
"DESPESA",2010,11,5089695160.80,4881200135.02,39644152490.52,,1
"DESPESA",2010,12,5323227832.94,6407021609.56,46051174100.08,,1
"DESPESA",2011,1,3910121696.75,3618530609.84,3618530609.84,,1
"DESPESA",2011,2,3630390218.20,3402594553.30,7021125163.14,,1
"DESPESA",2011,3,4366871779.47,4109511512.34,11130636675.48,,1
"DESPESA",2011,4,4061505547.04,3925646340.47,15056283015.95,,1
"DESPESA",2011,5,4634568528.64,4343369504.34,19399652520.29,,1
"DESPESA",2011,6,4322232596.27,4322139772.45,23721792292.74,,1
"DESPESA",2011,7,4739525925.17,4039650544.90,27761442837.64,,1
"DESPESA",2011,8,3839233676.57,4430962447.09,32192405284.73,,1
"DESPESA",2011,9,4191497989.23,3964766006.57,36157171291.30,,1
"DESPESA",2011,10,4480134002.17,4487673079.23,40644844370.53,,1
"DESPESA",2011,11,5850717298.29,5612482403.60,46257326774.13,,1
"DESPESA",2011,12,6666767362.75,8436239846.42,54693566620.55,,1
"DESPESA",2012,1,5115184329.82,3988916829.69,3988916829.69,,1
"DESPESA",2012,2,4657531568.23,4478035230.28,8466952059.97,,1
"DESPESA",2012,3,4792655529.93,4694218225.84,13161170285.81,,1
"DESPESA",2012,4,4566503215.26,4505680723.50,17666851009.31,,1
"DESPESA",2012,5,4911287878.34,4804066229.98,22470917239.29,,1
"DESPESA",2012,6,5567283777.82,4825862779.79,27296780019.08,,1
"DESPESA",2012,7,5285606013.75,5120307740.21,32417087759.29,,1
"DESPESA",2012,8,4222474018.91,4854161055.94,37271248815.23,,1
"DESPESA",2012,9,4829878220.49,4208271034.26,41479519849.49,,1
"DESPESA",2012,10,4552959671.97,5018380494.75,46497900344.24,,1
"DESPESA",2012,11,7297064359.09,6954498275.88,53452398620.12,,1
"DESPESA",2012,12,7373742886.91,9719772850.40,63172171470.52,,1
"DESPESA",2013,1,7821768382.17,4628547428.49,4628547428.49,,1
"DESPESA",2013,2,5513076010.10,6060405328.70,10688952757.19,,1
"DESPESA",2013,3,6574525298.66,6888820592.48,17577773349.67,,1
"DESPESA",2013,4,5562017973.90,5683678890.44,23261452240.11,,1
"DESPESA",2013,5,5531641437.63,5170871821.84,28432324061.95,,1
"DESPESA",2013,6,5712371155.70,5419826477.49,33852150539.44,,1
"DESPESA",2013,7,5469615567.48,5802231903.21,39654382442.65,,1
"DESPESA",2013,8,5405760804.94,5412916077.07,45067298519.72,,1
"DESPESA",2013,9,4956481747.14,5188884655.45,50256183175.17,,1
"DESPESA",2013,10,1248680318.04,1460259645.01,51716442820.18,,1
"DESPESA",2013,11,0.00,0.00,51716442820.18,,1
"DESPESA",2013,12,0.00,0.00,51716442820.18,,1
